MarketName;TimeStamp;Volume;Last;OpenSellOrders;OpenBuyOrders;Bid;Ask;
BTC-DOGE;2018-01-02T18:52:00.39;1937021971.1;0.000000610;15007;3980;0.000000610;0.000000620;
BTC-DOGE;2018-01-02T18:56:56.577;1934977058.46;0.000000610;15043;4010;0.000000610;0.000000620;
BTC-DOGE;2018-01-02T19:02:03.373;1935878545.16;0.000000610;15031;4046;0.000000610;0.000000620;
BTC-DOGE;2018-01-02T19:07:10.12;1941042294.15;0.000000610;15032;4065;0.000000610;0.000000620;
BTC-DOGE;2018-01-02T19:12:10.7;1947889725.19;0.000000620;15033;4065;0.000000610;0.000000620;
BTC-DOGE;2018-01-02T19:17:11.883;1997641302.26;0.000000590;15054;3763;0.000000590;0.000000600;
BTC-DOGE;2018-01-02T19:22:11.607;2017885374.05;0.000000590;15059;3617;0.000000580;0.000000590;
BTC-DOGE;2018-01-02T19:27:14.3;2055803947.16;0.000000580;15021;3442;0.000000570;0.000000580;
BTC-DOGE;2018-01-02T19:32:15.37;2112035875.18;0.000000570;15005;3418;0.000000570;0.000000580;
BTC-DOGE;2018-01-02T19:37:10.253;2133483865.53;0.000000600;14961;3472;0.000000590;0.000000600;
BTC-DOGE;2018-01-02T19:42:17.45;2159205603.73;0.000000590;14958;3484;0.000000590;0.000000600;
BTC-DOGE;2018-01-02T19:47:16.607;2167009137.56;0.000000590;14983;3522;0.000000590;0.000000600;
BTC-DOGE;2018-01-02T19:52:11.58;2172009511.92;0.000000590;14975;3529;0.000000590;0.000000600;
BTC-DOGE;2018-01-02T19:57:19.47;2186582824.83;0.000000610;14964;3579;0.000000600;0.000000610;
BTC-DOGE;2018-01-02T20:02:23.323;2208646558.98;0.000000610;14921;3603;0.000000610;0.000000620;
BTC-DOGE;2018-01-02T20:07:18.317;2214359483.18;0.000000610;14970;3598;0.000000600;0.000000610;
BTC-DOGE;2018-01-02T20:12:22.627;2222610467.0;0.000000590;14993;3563;0.000000590;0.000000600;
BTC-DOGE;2018-01-02T20:17:19.553;2215360403.16;0.000000600;15025;3605;0.000000590;0.000000600;
BTC-DOGE;2018-01-02T20:22:28.383;2219521407.66;0.000000600;15018;3636;0.000000590;0.000000600;
BTC-DOGE;2018-01-02T20:27:22.55;2238775566.65;0.000000590;15076;3573;0.000000580;0.000000590;
BTC-DOGE;2018-01-02T20:32:28.14;2248997224.95;0.000000590;15068;3602;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T10:27:05.817;2396201270.97;0.000000610;15684;4228;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T10:30:40.293;2386445606.96;0.000000610;15691;4237;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T10:35:41.993;2366502229.15;0.000000600;15691;4253;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T10:40:43.673;2358835162.13;0.000000610;15684;4231;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T10:45:45.537;2358918160.17;0.000000610;15671;4202;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T10:50:46.88;2367146121.25;0.000000600;15667;4209;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T10:55:45.593;2371943620.42;0.000000600;15681;4185;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T11:00:49.587;2358700134.03;0.000000600;15706;4188;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T11:05:44.673;2363195129.56;0.000000590;15728;4173;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T11:10:45.883;2349466082.69;0.000000590;15732;4174;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T11:15:41.04;2344793364.51;0.000000600;15743;4171;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T11:20:53.14;2341119910.14;0.000000600;15760;4180;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T11:54:56.923;2283086980.26;0.000000600;15791;4199;0.000000590;0.000000600;
